dist,agg.method,index,clust.num.true,clust.num.pred
euclidean,ward.D,all,4,4
maximum,ward.D,all,4,4
manhattan,ward.D,all,4,4
canberra,ward.D,all,4,4
binary,ward.D,all,4,-1
minkowski,ward.D,all,4,4
euclidean,ward.D2,all,4,4
maximum,ward.D2,all,4,4
manhattan,ward.D2,all,4,4
canberra,ward.D2,all,4,4
binary,ward.D2,all,4,-1
minkowski,ward.D2,all,4,4
euclidean,single,all,4,4
maximum,single,all,4,4
manhattan,single,all,4,4
canberra,single,all,4,4
binary,single,all,4,-1
minkowski,single,all,4,4
euclidean,complete,all,4,4
maximum,complete,all,4,4
manhattan,complete,all,4,4
canberra,complete,all,4,4
binary,complete,all,4,-1
minkowski,complete,all,4,4
euclidean,average,all,4,4
maximum,average,all,4,4
manhattan,average,all,4,4
canberra,average,all,4,4
binary,average,all,4,-1
minkowski,average,all,4,4
euclidean,mcquitty,all,4,4
maximum,mcquitty,all,4,4
manhattan,mcquitty,all,4,4
canberra,mcquitty,all,4,4
binary,mcquitty,all,4,-1
minkowski,mcquitty,all,4,4
euclidean,median,all,4,4
maximum,median,all,4,4
manhattan,median,all,4,4
canberra,median,all,4,4
binary,median,all,4,-1
minkowski,median,all,4,4
euclidean,centroid,all,4,4
maximum,centroid,all,4,4
manhattan,centroid,all,4,4
canberra,centroid,all,4,4
binary,centroid,all,4,-1
minkowski,centroid,all,4,4
euclidean,kmeans,all,4,4
maximum,kmeans,all,4,4
manhattan,kmeans,all,4,4
canberra,kmeans,all,4,4
binary,kmeans,all,4,-1
minkowski,kmeans,all,4,4
euclidean,ward.D,alllong,4,4
maximum,ward.D,alllong,4,4
manhattan,ward.D,alllong,4,4
canberra,ward.D,alllong,4,4
binary,ward.D,alllong,4,-1
minkowski,ward.D,alllong,4,4
euclidean,ward.D2,alllong,4,4
maximum,ward.D2,alllong,4,4
manhattan,ward.D2,alllong,4,4
canberra,ward.D2,alllong,4,4
binary,ward.D2,alllong,4,-1
minkowski,ward.D2,alllong,4,4
euclidean,single,alllong,4,4
maximum,single,alllong,4,4
manhattan,single,alllong,4,4
canberra,single,alllong,4,4
binary,single,alllong,4,-1
minkowski,single,alllong,4,4
euclidean,complete,alllong,4,4
maximum,complete,alllong,4,4
manhattan,complete,alllong,4,4
canberra,complete,alllong,4,4
binary,complete,alllong,4,-1
minkowski,complete,alllong,4,4
euclidean,average,alllong,4,4
maximum,average,alllong,4,4
manhattan,average,alllong,4,4
canberra,average,alllong,4,4
binary,average,alllong,4,-1
minkowski,average,alllong,4,4
euclidean,mcquitty,alllong,4,4
maximum,mcquitty,alllong,4,4
manhattan,mcquitty,alllong,4,4
canberra,mcquitty,alllong,4,4
binary,mcquitty,alllong,4,-1
minkowski,mcquitty,alllong,4,4
euclidean,median,alllong,4,4
maximum,median,alllong,4,4
manhattan,median,alllong,4,4
canberra,median,alllong,4,4
binary,median,alllong,4,-1
minkowski,median,alllong,4,4
euclidean,centroid,alllong,4,4
maximum,centroid,alllong,4,4
manhattan,centroid,alllong,4,4
canberra,centroid,alllong,4,4
binary,centroid,alllong,4,-1
minkowski,centroid,alllong,4,4
euclidean,kmeans,alllong,4,4
maximum,kmeans,alllong,4,4
manhattan,kmeans,alllong,4,4
canberra,kmeans,alllong,4,4
binary,kmeans,alllong,4,-1
minkowski,kmeans,alllong,4,4
