modComp,t,cum_repairs
616,0,0
616,1,0
616,2,0
616,3,0
616,4,0
616,5,0
616,6,0
616,7,0
616,8,0
616,9,0
616,10,0
616,11,0
616,12,0
616,13,0
616,14,0
616,15,0
616,16,0
616,17,0
616,18,0
616,19,0
616,20,0
616,21,0
616,22,0
616,23,0
616,24,0
616,25,0
616,26,0
616,27,0
616,28,0
616,29,0
616,30,17
616,31,37
616,32,60
616,33,77
616,34,84
616,35,102
616,36,57
616,37,112
616,38,109
616,39,145
616,40,257
616,41,395
616,42,1015
616,43,1293
616,44,1325
616,45,977
616,46,689
616,47,599
616,48,397
616,49,655
616,50,530
616,51,892
616,52,1181
616,53,1790
616,54,1870
616,55,1454
616,56,686
616,57,382
616,58,216
230,0,0
230,1,0
230,2,0
230,3,0
230,4,0
230,5,0
230,6,0
230,7,0
230,8,0
230,9,0
230,10,0
230,11,0
230,12,0
230,13,0
230,14,0
230,15,0
230,16,0
230,17,0
230,18,0
230,19,0
230,20,0
230,21,0
230,22,0
230,23,0
230,24,0
230,25,4
230,26,11
230,27,23
230,28,22
230,29,38
230,30,53
230,31,69
230,32,78
230,33,76
230,34,73
230,35,70
230,36,36
230,37,75
230,38,62
230,39,76
230,40,73
230,41,57
230,42,51
230,43,45
230,44,28
230,45,40
230,46,29
230,47,37
230,48,15
230,49,47
230,50,32
230,51,40
230,52,45
230,53,54
230,54,47
230,55,49
230,56,27
230,57,12
230,58,15
112,0,0
112,1,0
112,2,0
112,3,0
112,4,0
112,5,0
112,6,0
112,7,0
112,8,0
112,9,0
112,10,0
112,11,0
112,12,0
112,13,0
112,14,3
112,15,5
112,16,9
112,17,21
112,18,25
112,19,21
112,20,58
112,21,69
112,22,80
112,23,95
112,24,97
112,25,145
112,26,129
112,27,119
112,28,119
112,29,141
112,30,109
112,31,171
112,32,142
112,33,111
112,34,102
112,35,154
112,36,145
112,37,144
112,38,92
112,39,83
112,40,92
112,41,107
112,42,97
112,43,126
112,44,111
112,45,69
112,46,57
112,47,35
112,48,20
112,49,25
112,50,18
112,51,6
112,52,7
112,53,5
112,54,8
112,55,10
112,56,3
112,57,2
112,58,1
130,0,0
130,1,0
130,2,0
130,3,0
