modComp,t,cum_sales
427,0,24339
427,1,24339
427,2,24339
427,3,24339
427,4,24339
427,5,24339
427,6,24339
427,7,24339
427,8,24339
427,9,24339
427,10,24339
427,11,24339
427,12,24339
427,13,24339
427,14,24339
427,15,24339
427,16,24339
427,17,0
427,18,0
427,19,0
427,20,0
427,21,0
427,22,0
427,23,0
427,24,0
427,25,0
427,26,0
427,27,0
427,28,0
427,29,0
427,30,0
427,31,0
427,32,0
427,33,0
427,34,0
427,35,0
427,36,0
427,37,0
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,1539
27,14,1539
27,15,1539
27,16,1539
27,17,1539
27,18,1539
27,19,1539
27,20,1539
27,21,1539
27,22,1539
27,23,1539
27,24,1539
27,25,2349
27,26,2349
27,27,2349
27,28,810
27,29,810
27,30,810
27,31,810
27,32,810
27,33,810
27,34,810
27,35,810
27,36,810
27,37,0
827,0,0
827,1,0
827,2,0
827,3,0
827,4,0
827,5,0
827,6,0
827,7,0
827,8,55409
827,9,55409
827,10,55409
827,11,55409
827,12,55409
827,13,55409
827,14,55409
827,15,55409
827,16,55409
827,17,55409
827,18,55409
827,19,55409
827,20,55409
827,21,55409
827,22,55409
827,23,55409
827,24,0
827,25,0
827,26,0
827,27,0
827,28,0
827,29,0
827,30,0
827,31,0
827,32,0
827,33,0
827,34,0
827,35,0
827,36,0
827,37,0
527,0,0
527,1,0
527,2,0
527,3,0
527,4,0
527,5,0
527,6,0
527,7,0
527,8,28985
527,9,28985
527,10,28985
527,11,28985
527,12,28985
527,13,28985
527,14,28985
527,15,28985
527,16,28985
527,17,28985
527,18,28985
527,19,28985
527,20,28985
527,21,28985
527,22,28985
527,23,28985
527,24,28985
527,25,28985
527,26,28985
527,27,0
527,28,0
527,29,0
527,30,0
527,31,0
527,32,0
527,33,0
527,34,0
527,35,0
527,36,0
527,37,0
727,0,0
727,1,0
727,2,0
727,3,0
727,4,0
727,5,0
727,6,0
727,7,0
727,8,34169
727,9,34169
727,10,34169
727,11,34169
727,12,34169
727,13,34169
727,14,34169
727,15,34169
727,16,0
727,17,34169
727,18,34169
727,19,34169
727,20,34169
727,21,34169
727,22,34169
727,23,34169
727,24,34169
727,25,34169
727,26,34169
727,27,0
727,28,0
727,29,0
727,30,0
727,31,0
727,32,0
727,33,0
727,34,0
727,35,0
727,36,0
727,37,0
127,0,0
127,1,0
127,2,0
127,3,0
127,4,0
127,5,0
127,6,0
127,7,0
127,8,0
127,9,0
127,10,0
127,11,0
127,12,0
127,13,5715
127,14,5715
127,15,5715
127,16,5715
127,17,5715
127,18,5715
127,19,5715
127,20,5715
127,21,5715
127,22,5715
127,23,5715
127,24,5715
127,25,5715
127,26,0
127,27,0
127,28,0
127,29,0
127,30,0
127,31,0
127,32,0
127,33,0
127,34,0
127,35,0
127,36,0
127,37,0
927,0,0
927,1,0
927,2,0
927,3,0
927,4,0
927,5,0
927,6,40788
927,7,40788
927,8,40788
927,9,40788
927,10,40788
927,11,40788
927,12,40788
927,13,40788
927,14,40788
927,15,40788
927,16,40788
927,17,40788
927,18,40788
927,19,40788
927,20,40788
927,21,40788
