ID_St_Dept,ID_DS,Active,WMAE,P_WIN,PAR1
1_1,1,1,5230.96120433056,10,NA
1_2,2,1,1867.13933365036,2,NA
1_3,2,1,2893.55582819398,11,NA
1_4,1,1,1868.559615106,3,28200.9475309544
1_5,2,1,6317.65681446077,1,1
1_6,2,1,2065.99370216074,3,525.346419289402
1_7,2,1,9146.57985612753,10,NA
1_8,2,1,1531.46107726255,4,NA
1_9,2,1,5094.89507290062,11,NA
1_10,1,1,2267.90078895997,11,NA
1_11,1,1,2670.73226841708,11,NA
1_12,1,1,869.137138382328,1,2
1_13,2,1,1729.9557513228,1,4
1_14,2,1,3036.69035588989,10,NA
1_16,2,1,4355.53623582589,11,NA
1_17,2,1,1103.89164158499,10,NA
1_18,1,1,5841.35168019325,11,NA
1_19,1,1,213.248456130597,1,5
1_20,1,1,300.283047557359,2,NA
1_21,2,1,720.355899911135,1,4
1_22,2,1,1593.91763479383,10,NA
1_23,2,1,3569.54589447311,10,NA
1_24,2,1,1930.45105547697,10,NA
1_25,2,1,1345.77497782103,10,NA
1_26,1,1,1165.27846939917,10,NA
1_27,2,1,318.070004575101,11,NA
1_28,1,1,64.8750849381139,1,1
1_29,2,1,798.550704088941,2,NA
1_30,1,1,417.955532999167,10,NA
1_31,2,1,682.936781159841,11,NA
1_32,2,1,2280.14489102721,10,NA
1_33,2,1,1676.50158882679,10,NA
1_34,1,1,1587.28007314094,11,NA
1_35,1,1,383.801604012016,7,1
1_36,2,1,612.21144409251,11,NA
1_37,2,1,272.643074507104,10,NA
1_38,1,1,5394.1867852384,1,2
1_40,1,1,2503.8709700479,1,3
1_41,1,1,380.975435982051,10,NA
1_42,2,1,175.881891085231,2,NA
1_44,2,1,769.854926377218,11,NA
1_45,1,1,8.31366979363371,1,2
1_46,2,1,1756.42272461087,10,NA
1_47,2,1,210.163208334647,3,16.0963637182602
1_48,2,1,485.914988170927,10,NA
1_49,2,1,1513.62729390625,11,NA
1_52,1,1,349.284917729258,11,NA
1_54,1,1,23.3402782298371,2,NA
1_55,1,1,2800.83076248546,2,NA
1_56,1,1,1230.48164524059,11,NA
1_58,2,1,1096.81568586275,10,NA
1_59,2,1,379.981059342387,11,NA
1_60,1,1,179.501320425926,10,NA
1_67,1,1,2045.2755758204,2,NA
1_71,2,1,715.950623743091,10,NA
1_72,1,1,10229.4205526634,3,59686.5709795942
1_74,2,1,1626.33333422127,10,NA
1_79,1,1,4467.57308422564,1,1
1_80,2,1,1116.03840424943,7,1
1_81,2,1,1496.00053370129,2,NA
1_82,2,1,1934.73648834961,11,NA
1_83,2,1,843.348564879872,10,NA
1_85,2,1,534.698509193338,10,NA
1_87,1,1,3827.68276782138,10,NA
1_90,2,1,5344.02261580102,10,NA
1_91,2,1,5483.63127139279,1,1
1_92,2,1,12773.9494338845,3,669.56727697282
1_93,2,1,7574.77903724243,3,3914.30366934177
1_94,1,1,4055.76077742926,7,1
1_95,2,1,6779.31404388723,2,NA
1_96,1,1,3239.9156547828,11,NA
1_97,2,1,2971.94275236176,1,1
1_98,1,1,1610.38326305833,10,NA
1_99,1,1,284.444962664251,11,NA
2_1,2,1,8455.25351417071,1,1
2_2,2,1,3365.7046095473,1,1
2_3,2,1,4229.47054650353,10,NA
2_4,1,1,2411.59120973444,7,1
2_5,2,1,9839.47390255444,2,NA
2_6,1,1,1948.55288533833,10,NA
2_7,1,1,10038.4953197889,10,NA
2_8,1,1,2583.83658715501,10,NA
2_9,1,1,6160.58840130705,10,NA
2_10,1,1,2386.06905541166,10,NA
2_11,1,1,2695.41321855111,10,NA
2_12,1,1,448.346763157467,2,NA
2_13,1,1,1767.26301299583,10,NA
2_14,2,1,4742.21266731788,10,NA
2_16,1,1,4875.31193464658,11,NA
2_17,2,1,1596.51358239259,10,NA
2_18,1,1,7892.11360112262,10,NA
2_19,1,1,317.125674960262,11,NA
2_20,2,1,837.079836157911,10,NA
2_21,1,1,793.815886541838,1,3
2_22,2,1,2708.29738319407,2,NA
2_23,2,1,5807.3314789378,10,NA
2_24,2,1,2902.82230131672,10,NA
2_25,1,1,2275.42884627315,10,NA
2_26,1,1,1718.7983453075,10,NA
2_27,2,1,410.383413927042,11,NA
