ID_St_Dept,ID_DS,Active,WMAE,P_WIN,PAR1
1_1,1,1,5230.96120433056,10,NA
1_2,1,1,2427.30184257068,1,3
1_3,1,1,3626.31685192685,10,NA
1_4,1,1,1868.559615106,3,28200.9475309544
1_5,1,1,7957.18696969083,10,NA
1_6,1,1,2133.80773208,10,NA
1_7,1,1,10019.3447050125,10,NA
1_8,1,1,1880.83285872253,1,2
1_9,1,1,5457.70646248972,11,NA
1_10,1,1,2267.90078895997,11,NA
1_11,1,1,2670.73226841708,11,NA
1_12,1,1,869.137138382328,1,2
1_13,1,1,1958.39160565069,11,NA
1_14,1,1,3296.48491835666,10,NA
1_16,1,1,4384.16710100452,11,NA
1_17,1,1,1237.5064806336,11,NA
1_18,1,1,5841.35168019325,11,NA
1_19,1,1,213.248456130597,1,5
1_20,1,1,300.283047557359,2,NA
1_21,1,1,815.908323920195,3,9690.99484542304
1_22,1,1,1774.10606898444,7,3
1_23,1,1,4015.70806902131,10,NA
1_24,1,1,2359.89112880611,10,NA
1_25,1,1,1761.81424050917,10,NA
1_26,1,1,1165.27846939917,10,NA
1_27,1,1,432.0868625775,10,NA
1_28,1,1,64.8750849381139,1,1
1_29,1,1,918.786427716311,1,4
1_30,1,1,417.955532999167,10,NA
1_31,1,1,927.507557226852,10,NA
1_32,1,1,2757.61776277028,10,NA
1_33,1,1,2023.66046415833,10,NA
1_34,1,1,1587.28007314094,11,NA
1_35,1,1,383.801604012016,7,1
1_36,1,1,658.33422328359,11,NA
1_37,1,1,294.902881660834,10,NA
1_38,1,1,5394.1867852384,1,2
1_40,1,1,2503.8709700479,1,3
1_41,1,1,380.975435982051,10,NA
1_42,1,1,621.796159170835,10,NA
1_44,1,1,915.663551189141,2,NA
1_45,1,1,8.31366979363371,1,2
1_46,1,1,2472.08587340036,1,3
1_47,1,0,NA,NA,NA
1_48,1,1,870.738006781945,10,NA
1_49,1,1,1619.85074336739,11,NA
1_52,1,1,349.284917729258,11,NA
1_54,1,1,23.3402782298371,2,NA
1_55,1,1,2800.83076248546,2,NA
1_56,1,1,1230.48164524059,11,NA
1_58,1,1,1541.12397352212,10,NA
1_59,1,1,381.288315591875,2,NA
1_60,1,1,179.501320425926,10,NA
1_67,1,1,2045.2755758204,2,NA
1_71,1,1,922.289019829358,11,NA
1_72,1,1,10229.4205526634,3,59686.5709795942
1_74,1,1,2123.02859959167,10,NA
1_79,1,1,4467.57308422564,1,1
1_80,1,1,1374.69688242648,2,NA
1_81,1,1,1636.8495622199,10,NA
1_82,1,1,3375.79915255612,10,NA
1_83,1,1,984.410756400494,3,41409.0088436914
1_85,1,1,760.805714020833,10,NA
1_87,1,1,3827.68276782138,10,NA
1_90,1,1,5844.57344480582,10,NA
1_91,1,1,6215.88303534363,10,NA
1_92,1,1,14419.1871904207,7,3
1_93,1,1,9210.22587753523,2,NA
1_94,1,1,4055.76077742926,7,1
1_95,1,1,8096.63049276631,1,1
1_96,1,1,3239.9156547828,11,NA
1_97,1,1,3336.30024361583,10,NA
1_98,1,1,1610.38326305833,10,NA
1_99,1,1,284.444962664251,11,NA
2_1,1,1,8484.76676277601,2,NA
2_2,1,1,3887.66973203251,1,1
2_3,1,1,5443.04872051103,11,NA
2_4,1,1,2411.59120973444,7,1
2_5,1,1,10385.7907553963,10,NA
2_6,1,1,1948.55288533833,10,NA
2_7,1,1,10038.4953197889,10,NA
2_8,1,1,2583.83658715501,10,NA
2_9,1,1,6160.58840130705,10,NA
2_10,1,1,2386.06905541166,10,NA
2_11,1,1,2695.41321855111,10,NA
2_12,1,1,448.346763157467,2,NA
2_13,1,1,1767.26301299583,10,NA
2_14,1,1,5597.22390891278,10,NA
2_16,1,1,4875.31193464658,11,NA
2_17,1,1,2148.14302084537,10,NA
2_18,1,1,7892.11360112262,10,NA
2_19,1,1,317.125674960262,11,NA
2_20,1,1,961.103313373332,10,NA
2_21,1,1,793.815886541838,1,3
2_22,1,1,2990.35420734777,10,NA
2_23,1,1,6105.89865254305,10,NA
2_24,1,1,3032.51987258778,10,NA
2_25,1,1,2275.42884627315,10,NA
2_26,1,1,1718.7983453075,10,NA
2_27,1,1,496.057337154999,10,NA
2_28,1,1,119.32591956,10,NA
2_29,1,1,1413.999914815,10,NA
2_30,1,1,473.60137025119,11,NA
2_31,1,1,1311.35696643469,11,NA
2_32,1,1,3869.27083152694,10,NA
2_33,1,1,2209.27662909917,10,NA
2_34,1,1,2286.86963512995,11,NA
2_35,1,1,585.253883101853,10,NA
2_36,1,1,991.913308744847,11,NA
2_37,1,1,380.526504942735,11,NA
2_38,1,1,5981.75564151546,11,NA
2_40,1,1,3059.53730636249,10,NA
2_41,1,1,806.107316066666,10,NA
2_42,1,1,544.987557171295,10,NA
2_44,1,1,900.214268393709,11,NA
2_45,1,1,9.15797326666666,10,NA
2_46,1,1,4661.05406451232,1,3
2_47,1,0,NA,NA,NA
2_48,1,1,872.312632948297,3,13157.3890237456
2_49,1,1,1809.52115028017,11,NA
2_52,1,1,716.869737593333,10,NA
2_54,1,1,31.8157812510977,1,1
2_55,1,1,3484.54118259167,10,NA
2_56,1,1,1512.29747915262,2,NA
2_58,1,1,4944.70003822917,10,NA
2_59,1,1,1065.25913068858,11,NA
2_60,1,1,53.7687017743067,7,1
2_67,1,1,3334.64133120576,2,NA
2_71,1,1,1002.26614084415,11,NA
2_72,1,1,23585.2294986701,3,128134.301770676
2_74,1,1,1869.51911638291,2,NA
2_77,1,1,613.5,14,NA
2_79,1,1,3360.74362465353,10,NA
2_80,1,1,1464.52574590621,1,1
2_81,1,1,1307.29208484462,1,1
2_82,1,1,6586.49933047313,10,NA
2_83,1,1,575.035312213516,11,NA
2_85,1,1,635.702826811249,10,NA
2_87,1,1,2653.20240955711,11,NA
2_90,1,1,7538.83435063056,10,NA
2_91,1,1,5216.13500223531,1,1
2_92,1,1,15318.5789935892,1,2
2_93,1,1,7743.17591893971,7,1
2_94,1,1,5516.85286686527,10,NA
2_95,1,1,6857.10355221055,1,1
2_96,1,1,3371.51267435738,10,NA
2_97,1,1,2843.8345102329,1,1
2_98,1,1,1892.01812104808,10,NA
2_99,1,1,653.091906410318,10,NA
3_1,1,1,1290.92873410519,10,NA
3_2,1,1,644.022992805966,11,NA
3_3,1,1,1502.34534214444,10,NA
3_4,1,1,412.440927589526,3,943.901797681448
3_5,1,1,1826.72583325742,2,NA
3_6,1,1,487.629206838735,1,1
3_7,1,1,1892.00533665079,10,NA
3_8,1,1,416.122822409524,10,NA
3_9,1,1,1294.88438606729,11,NA
3_10,1,1,898.280419399594,2,NA
3_11,1,1,2842.19871698561,11,NA
3_12,1,1,357.848655731889,10,NA
3_13,1,1,625.942426784636,1,2
3_14,1,1,394.964057725124,1,1
3_16,1,1,2499.45608900182,11,NA
3_17,1,1,309.533128924887,11,NA
3_18,1,1,1983.4945992698,11,NA
3_19,1,1,121.285991647679,1,1
3_20,1,1,283.993994566039,11,NA
3_21,1,1,123.153331590835,1,3
3_22,1,1,504.90495349365,10,NA
3_23,1,1,1549.90662131746,10,NA
3_24,1,1,702.26698195681,11,NA
3_25,1,1,478.664752328966,11,NA
3_26,1,1,397.143588238113,11,NA
3_27,1,1,67.1949258343907,1,2
3_28,1,1,38.4075951690474,1,2
3_29,1,1,189.466386068753,11,NA
3_30,1,1,207.264497283466,11,NA
3_31,1,1,243.142511957143,10,NA
3_32,1,1,1511.03150210159,10,NA
3_33,1,1,662.660217075494,11,NA
3_34,1,1,707.942296562466,11,NA
3_35,1,1,268.959246482214,11,NA
3_36,1,1,222.659451708699,11,NA
3_38,1,1,7931.87328469048,10,NA
3_40,1,1,1067.38532367619,10,NA
3_41,1,1,159.852483138177,2,NA
3_42,1,1,868.456233882606,3,10270.503025904
3_44,1,1,257.882763983986,3,165.261642109506
3_46,1,1,751.966500596825,10,NA
3_47,1,0,NA,NA,NA
3_49,1,1,8.01288942222223,10,NA
3_52,1,1,103.544801742028,3,237.090940964071
3_54,1,1,24.4166125111111,10,NA
3_55,1,1,1552.90257556825,10,NA
3_56,1,1,606.05647265923,2,NA
3_59,1,1,79.5849345071428,10,NA
3_60,1,1,32.4095417619869,1,5
3_67,1,1,470.731899912699,10,NA
3_71,1,1,493.733220612699,10,NA
3_72,1,1,3880.62286266109,2,NA
3_74,1,1,551.464914267876,1,1
3_79,1,1,658.949368365191,7,1
3_80,1,0,NA,NA,NA
3_81,1,1,97.6576044662042,3,83.6180752971726
3_82,1,1,670.528197512137,2,NA
3_85,1,1,225.919290098176,1,6
3_87,1,1,294.144222863781,10,NA
3_90,1,1,73.846833155555,10,NA
3_91,1,1,65.1156080936335,1,1
3_92,1,1,361.866298558232,2,NA
