Xval_orig_1,Xval_orig_2,Xval_orig_3,Xval_bias,Xval_norm_1,Xval_norm_2,Xval_norm_3,yval_loss,yval_def,pred_log,pval,pred_loss,pred_comb,pred_log_ok,pred_loss_05,pred_loss_25,pred_loss_50,pred_loss_75,pred_loss_85
147.56,1544917.23,1545141.72,1,-0.175156579837686,-0.347307445387402,-0.347367718908058,0,0,0,0.345520981144893,0.750085053186922,0,1,1,1,1,1,1
38.33,2163097.34,2163212.9,1,-0.194052568236205,-0.267003894175957,-0.267088724021598,0,0,0,0.332322372825827,0.717492483150522,0,1,1,1,1,1,1
474.04,3358122.5,3358240.89,1,-0.118677935762352,-0.111766346764371,-0.111870928721086,0,0,0,0.290942052702868,0.623986301458956,0,1,1,1,1,1,1
694.1,2844318.46,2846528.89,1,-0.0806091707071644,-0.178511116405677,-0.178335320462083,0,0,1,0.687392039651355,1.27561963808336,1.27561963808336,0,1,1,1,1,1
223.98,1071957.52,1072165.74,1,-0.161936480657837,-0.408746407396281,-0.408800831320511,0,0,0,0.337481530438024,0.74404874176355,0,1,1,1,1,1,1
9.53,576269.24,576598.8,1,-0.199034756882889,-0.473137882524611,-0.473168200532191,0,0,0,0.382716016969231,0.827448392042243,0,1,1,1,1,1,1
1263.72,1367463.15,1368582.61,1,0.017930909047158,-0.370359291557218,-0.370300333059146,0,0,0,0.418289206988494,0.87113502239356,0,1,1,1,1,1,1
770.36,2769433.83,2769804.99,1,-0.0674167503531308,-0.188238866656578,-0.188300705963101,0,0,0,0.312952175660734,0.673513530743094,0,1,1,1,1,1,1
0.78,1366968.62,1366969,1,-0.200548442669643,-0.370423532568111,-0.370509918933929,0,0,0,0.3175137020243,0.704554191505508,0,1,1,1,1,1,1
948.26,20073563.38,20076097.78,1,-0.0366413559001728,2.0596222841784,2.05955008428403,1,1,1,0.657119937714813,0.943080406656918,0.943080406656918,1,1,1,1,1,1
785.61,4602688.2,4603076.29,1,-0.0647786122676468,0.0499066734593911,0.0498161680807472,0,0,0,0.307676514683864,0.634291444581095,0,1,1,1,1,1,1
9.19,804861.41,804866,1,-0.199093574387746,-0.443443036745554,-0.443519412537341,0,0,0,0.319733927428437,0.717600061788744,0,1,1,1,1,1,1
2226.45,12020973.78,12022076.11,1,0.184476133902112,1.01356542976368,1.01344279861289,0,0,0,0.285076689203131,0.471960910911548,0,1,1,1,1,1,1
2265.91,1966876.05,1967970.01,1,0.191302424318715,-0.292493660273884,-0.292448105715997,0,0,0,0.318115327951516,0.695385389942544,0,1,1,1,1,1,1
371.98,3750583.52,3751193.08,1,-0.136333566779041,-0.0607844191542027,-0.0608318123985408,0,0,0,0.39069016694135,0.788704402480505,0,1,1,1,1,1,1
399,7905687.51,7905953.45,1,-0.131659305069547,0.478976729178186,0.47881474820908,0,0,0,0.306150039867407,0.577984203522419,0,1,1,1,1,1,1
64.12,781313.95,781345.97,1,-0.189591087500163,-0.446501926265648,-0.446574342825629,0,0,0,0.320063161547935,0.718550516065307,0,1,1,1,1,1,1
322.72,876330.65,876486.22,1,-0.144855185276808,-0.434158956456424,-0.434216925281509,0,0,0,0.319791404822269,0.716472882582138,0,1,1,1,1,1,1
258.81,274055.6,274184.31,1,-0.155911146263253,-0.512396390075973,-0.512447707621166,0,0,0,0.32278849401878,0.731534723890491,0,1,1,1,1,1,1
133.26,810427.88,810648.4,1,-0.177630374894894,-0.442719934689242,-0.442768357844852,0,0,0,0.349037276091689,0.767960968361876,0,1,1,1,1,1,1
267.31,557179.85,557555.47,1,-0.154440708641835,-0.475617654653578,-0.475641668704079,0,0,0,0.367718643040319,0.803184115866998,0,1,1,1,1,1,1
72.97,2977404.52,2977440.99,1,-0.188060102447276,-0.161222816342546,-0.161331628740887,0,0,0,0.311622067679947,0.667913431052341,0,1,1,1,1,1,1
52.72,122911.65,122937.99,1,-0.191563203839476,-0.532030467156074,-0.532092536473849,0,0,0,0.322583338593925,0.73367414339009,0,1,1,1,1,1,1
47.53,8915982.24,8916006,1,-0.192461035751847,0.61021720954435,0.610006763174905,0,0,0,0.289206239568242,0.530588496519158,0,1,1,1,1,1,1
195.63,1388026.69,1388943.2,1,-0.166840822606917,-0.367688022681422,-0.367655770825237,3,1,1,0.481552171042299,0.969126790801511,0.969126790801511,1,1,1,1,1,1
2369,8336586.51,8337770.19,1,0.209136237776587,0.53495187194598,0.534901838149672,0,0,0,0.301079254384188,0.561369601229444,0,1,1,1,1,1,1
189.35,1690478.33,1690569.96,1,-0.167927216520152,-0.328398598177413,-0.328478579091982,0,0,0,0.316542887893649,0.697541380071584,0,1,1,1,1,1,1
194.45,1359829.78,1359926.69,1,-0.167044953947302,-0.371350890459859,-0.371424618707633,0,0,0,0.318343382874059,0.706094478882846,0,1,1,1,1,1,1
4.09,286869.96,286872,1,-0.199975836960597,-0.510731764188055,-0.510799750179386,0,0,0,0.321729059793859,0.729522797055779,0,1,1,1,1,1,1
15.74,370051.14,370059,1,-0.197960472455948,-0.499926265855282,-0.499994896363649,0,0,0,0.321455554853421,0.727688998765871,0,1,1,1,1,1,1
778.02,1413201,1414328.28,1,-0.0660916265672418,-0.364417800201605,-0.364358596044312,0,0,1,0.467558659659249,0.947084589853034,0.947084589853034,0,1,1,1,1,1
0.03,20272.99,20273,1,-0.20067818716565,-0.545363553672856,-0.54542731485201,0,0,0,0.322752044389597,0.735648204307836,0,1,1,1,1,1,1
497.16,805737.11,809649.54,1,-0.114678345432097,-0.443329280546255,-0.442898096100618,0,0,1,0.911570220246234,1.9008449201001,1.9008449201001,0,1,1,1,1,1
18.33,17319015.84,17319025,1,-0.197512421463069,1.70179784779732,1.70144402988555,0,0,0,0.25920813897897,0.336322125442166,0,1,1,1,1,1,1
201.93,244940.04,245036.97,1,-0.165750968840455,-0.516178593394533,-0.516233548531616,0,0,0,0.322035498082332,0.730698977652537,0,1,1,1,1,1,1
84.33,67985.84,69323.2,1,-0.186094905814417,-0.539165503571537,-0.539056364575733,5,1,1,0.586087194889535,1.15216830164968,1.15216830164968,1,1,1,1,1,1
195.82,1950083.6,1950385.49,1,-0.166807954001262,-0.294675052633047,-0.294732094416394,0,0,0,0.354276637378867,0.758245994355775,0,1,1,1,1,1,1
3515.19,3168385.41,3171853.04,1,0.407418696281568,-0.136413794776772,-0.136080161801729,0,0,1,0.67060894448366,1.24023347942392,1.24023347942392,0,1,1,1,1,1
33.15,553281.93,555241.3,1,-0.194948670221963,-0.476124006788295,-0.475942247743529,11,1,1,0.707265468176297,1.34906256720251,1.34906256720251,1,0,1,1,1,1
198.21,2346270.9,2346369.95,1,-0.166394501540652,-0.243209069466954,-0.24329912768357,0,0,0,0.314591896190922,0.683427738422552,0,1,1,1,1,1,1
578.81,803493.6,803962.96,1,-0.100553494633424,-0.443620719590094,-0.443636705085333,0,0,0,0.356140655887119,0.779902713217098,0,1,1,1,1,1,1
0.53,64827.74,64828,1,-0.200591690834978,-0.539575750748659,-0.539640229589166,0,0,0,0.322580164022079,0.734623143413728,0,1,1,1,1,1,1
2009.39,1611136.31,1612130.95,1,0.146926346830954,-0.33870537748529,-0.338666733929891,0,0,0,0.323658039122186,0.710965364042522,0,1,1,1,1,1,1
43896.68,52250487.67,52271583.44,1,7.39312012038602,6.23950650521681,6.24130343616531,0,0,0,0.183180826627963,0,0,1,1,1,1,1,1
1696.62,5515939.7,5516860.26,1,0.092819432142636,0.168540931360666,0.168504210864037,0,0,0,0.32211413845236,0.644912676972581,0,1,1,1,1,1,1
497.94,192568.04,192816.61,1,-0.11454341115625,-0.52298188181487,-0.523016259243688,0,0,0,0.324230234529722,0.735330953149742,0,1,1,1,1,1,1
3.01,1702847.5,1702849,1,-0.200162669034847,-0.326791803878356,-0.326883699697394,0,0,0,0.316224466249726,0.69681660066567,0,1,1,1,1,1,1
2039.19,9321676.41,9322856.1,1,0.152081528138981,0.66291816518781,0.662851027968898,0,0,0,0.32490349708837,0.587917677911491,0,1,1,1,1,1,1
288.36,2404963.33,2405550.22,1,-0.150799213120561,-0.235584737201994,-0.235612419831071,0,0,0,0.399876491272904,0.825303403454427,0,1,1,1,1,1,1
88.83,17169323.09,17169540.35,1,-0.185316438838373,1.68235228618647,1.6820280178771,0,0,0,0.288894172838636,0.395963118060536,0,1,1,1,1,1,1
1562.06,71283.98,72044.21,1,0.0695415396322929,-0.538737064755554,-0.53870294258334,0,0,0,0.325713001576711,0.739660883139095,0,1,1,1,1,1,1
485.01,3298376,3298858.41,1,-0.116780206267417,-0.119527606055704,-0.119583900887602,0,0,0,0.357021466237002,0.740877247946344,0,1,1,1,1,1,1
142.79,18156391.61,18156462.52,1,-0.175981754832293,1.81057560842345,1.81021571276163,0,0,0,0.256751299178029,0.317777790391119,0,1,1,1,1,1,1
88.63,2069690.69,2069802.14,1,-0.185351037370641,-0.279137713398586,-0.279221504463457,0,0,0,0.327484584571881,0.710612125962257,0,1,1,1,1,1,1
59.24,2679370.89,2679668.07,1,-0.190435291687518,-0.199938327376114,-0.200008259354866,0,0,0,0.362921022574411,0.760835073483292,0,1,1,1,1,1,1
0.37,55441.82,55442,1,-0.200619369660793,-0.540795011438536,-0.540859342646669,0,0,0,0.322616124459874,0.734838667137637,0,1,1,1,1,1,1
1202.9,15285752.56,15288938.69,1,0.00740949538426366,1.43767051776751,1.43776357725619,2,1,1,0.765280391162979,1.22440892381974,1.22440892381974,1,1,1,1,1,1
497.6,555986.21,556227.37,1,-0.114602228661106,-0.475772712264326,-0.475814170733875,0,0,0,0.321478409772795,0.724605389229509,0,1,1,1,1,1,1
